gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.1,1.0,0.9,0.0222345343991937,0.0070322712484698,0.0199571507476338,0.0006912272124159,0.0171835069752979,0.0604634052890269,0.0011622858710896,0.0502681733028175,0.0217735087698288,0.086536003345621
2,300,128,20,100,0,tardos,0.5,1,0.1,1.0,0.9,0.0228330041193146,0.0071547417573638,0.0197974274696176,0.0010061809804125,0.0191872292736372,0.0589199636214275,0.0011806271342841,0.0561317722659383,0.0120455172691583,0.0795878260178387
2,300,128,20,100,0,tardos,0.5,2,0.1,1.0,0.9,0.0228281459595844,0.0071157381757071,0.0195411239287201,0.0066667960659269,0.0186840826305982,0.0567377646121894,0.0010016974571236,0.051299742397519,0.0027253279790034,0.0910464937410678
2,300,128,20,100,0,tardos,0.5,0,0.2,1.0,0.8,0.0245523610293508,0.008137064778988,0.0198066408848825,0.0004261112151503,0.0178499833040965,0.0488307985660282,0.0013020334361342,0.0458127496528064,0.0238345922003122,0.0871555907252341
2,300,128,20,100,0,tardos,0.5,1,0.2,1.0,0.8,0.0254630167394622,0.0084403377897843,0.0188199775781252,0.0007034808083936,0.0183113661544865,0.0629188248272894,0.0013024011413802,0.0636050871713717,0.014115184039733,0.0766490411491046
2,300,128,20,100,0,tardos,0.5,2,0.2,1.0,0.8,0.0249294882835507,0.0079408032706852,0.0176651419181403,0.01089948269142,0.0205777024366822,0.0603371774609074,0.0010810135378174,0.055355095688002,0.0098679513910815,0.0927735583898912
2,300,128,20,100,0,tardos,0.5,0,0.3,1.0,0.7,0.0272437547392156,0.0094386682362299,0.0201043553500804,0.0052596193946896,0.0181528046866141,0.048424067301821,0.0012441765468532,0.0458340212051219,0.0194790958469957,0.0911390027088679
2,300,128,20,100,0,tardos,0.5,1,0.3,1.0,0.7,0.0283922982081963,0.0097551281377031,0.0172829071132414,0.0008934221154684,0.0175853529046742,0.0564616896765722,0.001479879609449,0.0643956150303324,0.0153364519233194,0.0698055187600142
2,300,128,20,100,0,tardos,0.5,2,0.3,1.0,0.7,0.0277269690797983,0.0093174990479437,0.018787517254447,0.0122412402130276,0.0201736079635684,0.0653828100593796,0.000132345834998,0.0644710901423115,0.0218474428163483,0.104450182686102
2,300,128,20,100,0,tardos,0.5,0,0.4,1.0,0.6,0.0294923252236606,0.0101736298327928,0.0193730225872909,0.0091502999961285,0.016046154676074,0.0484739133311949,0.0013459540057904,0.0345272474988364,0.018130726512393,0.0866965934968857
2,300,128,20,100,0,tardos,0.5,1,0.4,1.0,0.6,0.0313345466591526,0.0114539380520196,0.0186844149112734,0.0017113589080784,0.0183192970408958,0.0622806689746264,0.0017349540273117,0.0607918760983883,0.0112163118948679,0.0675022152216224
2,300,128,20,100,0,tardos,0.5,2,0.4,1.0,0.6,0.0309105765222673,0.011092795987751,0.0191993237767449,0.009481668318573,0.0224963094561749,0.0618195259913305,0.0001542779046087,0.0681843968745053,0.0222378495403954,0.097643585801304
2,300,128,20,100,0,tardos,0.5,0,0.5,1.0,0.5,0.0323774314544889,0.0118139388862243,0.0213147505608488,0.0118072596506299,0.014733544398328,0.057232139513488,0.0016074905807955,0.0339718544708838,0.0269540794032071,0.0931707509327782
2,300,128,20,100,0,tardos,0.5,1,0.5,1.0,0.5,0.0352047568700389,0.0138753960156953,0.0173952189209402,0.0038803841926941,0.0164175626660004,0.0497999891399047,0.0017285502383662,0.0626814349408375,0.0103004516522914,0.0670147085226644
2,300,128,20,100,0,tardos,0.5,2,0.5,1.0,0.5,0.0334529751104163,0.0121447047882546,0.0191088619833465,0.0020776388157367,0.0269875931638748,0.0624339414043778,0.0001766076440157,0.06883461536113,0.0237971151266962,0.1083934491121905
2,300,128,20,100,0,tardos,0.5,0,0.6,1.0,0.4,0.0372793981018483,0.0149575167275137,0.0191331727727524,0.0188353672939753,0.0187074197514863,0.0579315515843361,0.0001166953073181,0.0350188848699897,0.0378536187500759,0.0767831932713151
2,300,128,20,100,0,tardos,0.5,1,0.6,1.0,0.4,0.0383119508434355,0.0157585871424657,0.0152071097074961,0.0007930157031962,0.0146100403129762,0.0539696877272351,0.0020372858829116,0.0543773405469125,0.0102281232978745,0.0654993939757088
2,300,128,20,100,0,tardos,0.5,2,0.6,1.0,0.4,0.0373824870878249,0.0147604670194128,0.0158356664982013,0.0088769252769726,0.0190787263999212,0.0619926323190867,0.0002205920330271,0.074673698478355,0.022681177567566,0.1187821249913473
2,300,128,20,100,0,tardos,0.5,0,0.7,1.0,0.3,0.04389728420285,0.019150100640952,0.0213925347870156,0.0241219092291991,0.0154958094279011,0.0655801672447965,0.000153404126017,0.0435343948878506,0.0465071756767759,0.1043822979309488
2,300,128,20,100,0,tardos,0.5,1,0.7,1.0,0.3,0.0440144173114801,0.0198822474202226,0.0160999842670394,0.0137520309282472,0.0082104707526307,0.0431297065687052,0.0026654371976234,0.0703743570035346,0.0370315390547468,0.0439862364063247
2,300,128,20,100,0,tardos,0.5,2,0.7,1.0,0.3,0.0424681917082616,0.018217053371741,0.0183382797609818,0.0015710146592007,0.0180699906575928,0.0566937443802345,1.534358441168614e-05,0.0800455818048616,0.0117251951327977,0.135552766267766
