gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,103,0,tardos,0.5,0,0.2,1.0,0.8125,0.2195373047085711,0.0244216308857139,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.2,1.0,0.8125,0.2093731438949995,0.0117164298687494,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,0.0019917255178264,0.0555979851151923,0.0104791229918478,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,2,0.2,1.0,0.8125,0.2185419054940447,0.0231773818675558,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,0.0555979851151923,,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,0,0.3,1.0,0.75,0.2816277283265844,0.0204014477180696,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.3,1.0,0.75,0.2760105718852609,0.0127416889344466,0.017935075974434,,,0.0619247773854707,0.0019917255178264,0.0555979851151923,0.0104791229918478,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,2,0.3,1.0,0.75,0.2851397674159174,0.0251905919307965,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,0.0555979851151923,,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,0,0.4,1.0,0.625,0.4145204248027955,0.0242007080046592,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.4,1.0,0.625,0.408903268361472,0.0148387806024533,0.017935075974434,,,0.0619247773854707,,0.0555979851151923,0.0104791229918478,0.0784644914588632
2,300,128,20,103,0,tardos,0.5,2,0.4,1.0,0.625,0.4182569057509845,0.0304281762516408,0.017935075974434,,,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,0,0.5,1.0,0.5,0.5382280889861437,0.0104887621131652,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.5,1.0,0.5,0.5403031028938032,0.0149352204867212,,,,0.0619247773854707,,,0.0104791229918478,
2,300,128,20,103,0,tardos,0.5,2,0.5,1.0,0.5,0.5506179612098314,0.0370384883067816,,,,,,,,
2,300,128,20,103,0,tardos,0.5,0,0.6,1.0,0.4375,0.6037502702010495,0.0093756755026239,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.6,1.0,0.4375,0.6066011334256578,0.0165028335641444,,,,0.0619247773854707,,,0.0104791229918478,
2,300,128,20,103,0,tardos,0.5,2,0.6,1.0,0.4375,0.6169127957641698,0.0422819894104245,,,,,,,,
2,300,128,20,103,0,tardos,0.5,0,0.7,1.0,0.375,0.6703876981913109,0.0111630945739326,0.017935075974434,,,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.7,1.0,0.375,0.6727148359685238,0.0181445079055712,,,,,,,0.0104791229918478,
2,300,128,20,103,0,tardos,0.5,2,0.7,1.0,0.375,0.6818329199516954,0.0454987598550861,,,,,,,,
2,300,128,20,103,0,tardos,0.5,0,0.8,1.0,0.25,0.8016701935928883,0.0083509679644411,,,,0.0619247773854707,,,,
2,300,128,20,103,0,tardos,0.5,1,0.8,0.953125,0.25,0.8049309398327696,0.0246546991638477,,,,,,,0.0104791229918478,
2,300,128,20,103,0,tardos,0.5,2,0.8,1.0,0.25,0.8102857147837603,0.0514285739188019,,,,,,,,
2,300,128,20,103,0,tardos,0.5,0,0.9,0.8203125,0.125,0.933886297457134,0.0082944618570102,,,,,,,,
2,300,128,20,103,0,tardos,0.5,1,0.9,0.9921875,0.125,0.9379095763819868,0.0686436457298014,,,,,,,,
2,300,128,20,103,0,tardos,0.5,2,0.9,1.0,0.125,0.9344778187850942,0.0171672817764128,,,,,,,,
2,300,128,20,104,0,tardos,0.5,0,0.1,1.0,0.875,0.1525736136428397,0.0222003234340458,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,,0.0591054319805517,,0.0667902886330484
2,300,128,20,104,0,tardos,0.5,1,0.1,1.0,0.875,0.1437679702211767,0.0120399656398193,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,0.0591054319805517,0.0006329096122127,0.0667902886330484
2,300,128,20,104,0,tardos,0.5,2,0.1,1.0,0.875,0.1529246189307866,0.022605329535523,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,,,
